name,type,full_name,full_path,code,parent_code
Minh Châu,xa,Xã Minh Châu,"Xã Minh Châu, Thành phố Hà Nội",267,11
Ngọc Hồi,xa,Xã Ngọc Hồi,"Xã Ngọc Hồi, Thành phố Hà Nội",523,11
Tây Mỗ,phuong,Phường Tây Mỗ,"Phường Tây Mỗ, Thành phố Hà Nội",779,11
Phú Diễn,phuong,Phường Phú Diễn,"Phường Phú Diễn, Thành phố Hà Nội",1035,11
Tây Tựu,phuong,Phường Tây Tựu,"Phường Tây Tựu, Thành phố Hà Nội",1291,11
Thượng Cát,phuong,Phường Thượng Cát,"Phường Thượng Cát, Thành phố Hà Nội",1547,11
Xuân Đỉnh,phuong,Phường Xuân Đỉnh,"Phường Xuân Đỉnh, Thành phố Hà Nội",1803,11
Xuân Phương,phuong,Phường Xuân Phương,"Phường Xuân Phương, Thành phố Hà Nội",2059,11
Đại Xuyên,xa,Xã Đại Xuyên,"Xã Đại Xuyên, Thành phố Hà Nội",2315,11
Phương Liệt,phuong,Phường Phương Liệt,"Phường Phương Liệt, Thành phố Hà Nội",2571,11
Tùng Thiện,phuong,Phường Tùng Thiện,"Phường Tùng Thiện, Thành phố Hà Nội",2827,11
Đoài Phương,xa,Xã Đoài Phương,"Xã Đoài Phương, Thành phố Hà Nội",3083,11
Gia Lâm,xa,Xã Gia Lâm,"Xã Gia Lâm, Thành phố Hà Nội",3339,11
Suối Hai,xa,Xã Suối Hai,"Xã Suối Hai, Thành phố Hà Nội",3595,11
Ba Vì,xa,Xã Ba Vì,"Xã Ba Vì, Thành phố Hà Nội",3851,11
Cổ Đô,xa,Xã Cổ Đô,"Xã Cổ Đô, Thành phố Hà Nội",4107,11
Hoàng Liệt,phuong,Phường Hoàng Liệt,"Phường Hoàng Liệt, Thành phố Hà Nội",4363,11
Lĩnh Nam,phuong,Phường Lĩnh Nam,"Phường Lĩnh Nam, Thành phố Hà Nội",4619,11
Tương Mai,phuong,Phường Tương Mai,"Phường Tương Mai, Thành phố Hà Nội",4875,11
Thanh Liệt,phuong,Phường Thanh Liệt,"Phường Thanh Liệt, Thành phố Hà Nội",5131,11
Đại Thanh,xa,Xã Đại Thanh,"Xã Đại Thanh, Thành phố Hà Nội",5387,11
Thường Tín,xa,Xã Thường Tín,"Xã Thường Tín, Thành phố Hà Nội",5643,11
Ô Diên,xa,Xã Ô Diên,"Xã Ô Diên, Thành phố Hà Nội",5899,11
Quảng Bị,xa,Xã Quảng Bị,"Xã Quảng Bị, Thành phố Hà Nội",6155,11
Trần Phú,xa,Xã Trần Phú,"Xã Trần Phú, Thành phố Hà Nội",6411,11
Liên Minh,xa,Xã Liên Minh,"Xã Liên Minh, Thành phố Hà Nội",6667,11
Thư Lâm,xa,Xã Thư Lâm,"Xã Thư Lâm, Thành phố Hà Nội",6923,11
Đông Anh,xa,Xã Đông Anh,"Xã Đông Anh, Thành phố Hà Nội",7179,11
Phú Xuyên,xa,Xã Phú Xuyên,"Xã Phú Xuyên, Thành phố Hà Nội",7435,11
Quảng Oai,xa,Xã Quảng Oai,"Xã Quảng Oai, Thành phố Hà Nội",7691,11
Dương Hòa,xa,Xã Dương Hòa,"Xã Dương Hòa, Thành phố Hà Nội",7947,11
Phúc Thịnh,xa,Xã Phúc Thịnh,"Xã Phúc Thịnh, Thành phố Hà Nội",8203,11
Vĩnh Thanh,xa,Xã Vĩnh Thanh,"Xã Vĩnh Thanh, Thành phố Hà Nội",8459,11
Thiên Lộc,xa,Xã Thiên Lộc,"Xã Thiên Lộc, Thành phố Hà Nội",8715,11
Quang Minh,xa,Xã Quang Minh,"Xã Quang Minh, Thành phố Hà Nội",8971,11
Hương Sơn,xa,Xã Hương Sơn,"Xã Hương Sơn, Thành phố Hà Nội",9227,11
Mê Linh,xa,Xã Mê Linh,"Xã Mê Linh, Thành phố Hà Nội",9483,11
Tiến Thắng,xa,Xã Tiến Thắng,"Xã Tiến Thắng, Thành phố Hà Nội",9739,11
Yên Lãng,xa,Xã Yên Lãng,"Xã Yên Lãng, Thành phố Hà Nội",9995,11
Mỹ Đức,xa,Xã Mỹ Đức,"Xã Mỹ Đức, Thành phố Hà Nội",10251,11
Định Công,phuong,Phường Định Công,"Phường Định Công, Thành phố Hà Nội",10507,11
Bất Bạt,xa,Xã Bất Bạt,"Xã Bất Bạt, Thành phố Hà Nội",10763,11
Vật Lại,xa,Xã Vật Lại,"Xã Vật Lại, Thành phố Hà Nội",11019,11
Yên Bài,xa,Xã Yên Bài,"Xã Yên Bài, Thành phố Hà Nội",11275,11
Chương Mỹ,phuong,Phường Chương Mỹ,"Phường Chương Mỹ, Thành phố Hà Nội",11531,11
Xuân Mai,xa,Xã Xuân Mai,"Xã Xuân Mai, Thành phố Hà Nội",11787,11
Phú Nghĩa,xa,Xã Phú Nghĩa,"Xã Phú Nghĩa, Thành phố Hà Nội",12043,11
Yên Xuân,xa,Xã Yên Xuân,"Xã Yên Xuân, Thành phố Hà Nội",12299,11
Phúc Lợi,phuong,Phường Phúc Lợi,"Phường Phúc Lợi, Thành phố Hà Nội",12555,11
Việt Hưng,phuong,Phường Việt Hưng,"Phường Việt Hưng, Thành phố Hà Nội",12811,11
Hòa Lạc,xa,Xã Hòa Lạc,"Xã Hòa Lạc, Thành phố Hà Nội",13067,11
Thanh Oai,xa,Xã Thanh Oai,"Xã Thanh Oai, Thành phố Hà Nội",13323,11
Bình Minh,xa,Xã Bình Minh,"Xã Bình Minh, Thành phố Hà Nội",13579,11
Dân Hòa,xa,Xã Dân Hòa,"Xã Dân Hòa, Thành phố Hà Nội",13835,11
Ba Đình,phuong,Phường Ba Đình,"Phường Ba Đình, Thành phố Hà Nội",14091,11
Giảng Võ,phuong,Phường Giảng Võ,"Phường Giảng Võ, Thành phố Hà Nội",14347,11
Ngọc Hà,phuong,Phường Ngọc Hà,"Phường Ngọc Hà, Thành phố Hà Nội",14603,11
Cầu Giấy,phuong,Phường Cầu Giấy,"Phường Cầu Giấy, Thành phố Hà Nội",14859,11
Nghĩa Đô,phuong,Phường Nghĩa Đô,"Phường Nghĩa Đô, Thành phố Hà Nội",15115,11
Phù Đổng,xa,Xã Phù Đổng,"Xã Phù Đổng, Thành phố Hà Nội",15371,11
Hoài Đức,xa,Xã Hoài Đức,"Xã Hoài Đức, Thành phố Hà Nội",15627,11
An Khánh,xa,Xã An Khánh,"Xã An Khánh, Thành phố Hà Nội",15883,11
Phúc Sơn,xa,Xã Phúc Sơn,"Xã Phúc Sơn, Thành phố Hà Nội",16139,11
